id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCxIn6j4tH1dVnqLd1WFvFNA,Abebe Belew,33662568,160000,1114,2023-06-01 23:05:03 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,1432218,18300,108,2023-06-01 23:05:03 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,13124958,99500,920,2023-06-01 23:05:03 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,7011776,46700,1136,2023-06-01 23:05:03 UTC
UCgIxJwBNuGzDKrBaZhATDug,Anchor Ethiopia ,12905835,103000,351,2023-06-01 23:05:03 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,276790708,892000,6195,2023-06-01 23:05:03 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,684709,16400,90,2023-06-01 23:05:03 UTC
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,4695911,42800,897,2023-06-01 23:05:03 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),49366107,226000,1250,2023-06-01 23:05:03 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,200470101,646000,9100,2023-06-01 23:05:03 UTC
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA ,15744918,116000,980,2023-06-01 23:05:03 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,31765553,166000,1551,2023-06-01 23:05:03 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,40534500,225000,1757,2023-06-01 23:05:03 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,159302571,595000,1096,2023-06-01 23:05:03 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,10501116,108000,695,2023-06-01 23:05:03 UTC
UC-jwtt0RVJPNidr2Ja1_7yQ,MENELIK TELEVISION 3,661078,6090,236,2023-06-01 23:05:03 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,1411562,24600,352,2023-06-01 23:05:03 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,4069049,33100,1456,2023-06-01 23:05:03 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,114739924,525000,10099,2023-06-01 23:05:03 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,45421120,191000,2140,2023-06-01 23:05:03 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,12987162,98000,1116,2023-06-01 23:05:03 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3424434,45600,280,2023-06-01 23:05:03 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,156427682,352000,5636,2023-06-01 23:05:03 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,26662207,135000,618,2023-06-01 23:05:03 UTC
UCoVL5YOr2KdnYNspQf3s5uw,ኢትዮ ሰላም  Ethio Selam,3261933,38500,132,2023-06-01 23:05:03 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,18586106,336000,1303,2023-06-01 23:05:03 UTC
