id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,5778150,34700,552,2023-12-01 23:04:39 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,41613601,343000,19270,2023-12-01 23:04:39 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14204840,103000,1024,2023-12-01 23:04:39 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9302121,54200,1533,2023-12-01 23:04:39 UTC
UCgIxJwBNuGzDKrBaZhATDug,Anchor Ethiopia ,58073379,258000,706,2023-12-01 23:04:39 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,297906368,923000,6946,2023-12-01 23:04:39 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,700472,16400,90,2023-12-01 23:04:39 UTC
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,6252326,53500,990,2023-12-01 23:04:39 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,470548206,1340000,65067,2023-12-01 23:04:39 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),65173631,266000,1811,2023-12-01 23:04:39 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,207549852,667000,10038,2023-12-01 23:04:39 UTC
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA ,16319524,144000,986,2023-12-01 23:04:39 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVN for Ethiopia,2410032,42500,173,2023-12-01 23:04:39 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,38914127,187000,1836,2023-12-01 23:04:39 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,42276053,239000,1823,2023-12-01 23:04:39 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,391417928,1310000,38010,2023-12-01 23:04:39 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,194458247,662000,1434,2023-12-01 23:04:39 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,12531451,127000,758,2023-12-01 23:04:39 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,1854613,29900,124,2023-12-01 23:04:39 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2249565,33500,448,2023-12-01 23:04:39 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,5670535,42600,1918,2023-12-01 23:04:39 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,126383243,582000,11259,2023-12-01 23:04:39 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,55710750,220000,2386,2023-12-01 23:04:39 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,21433768,132000,1523,2023-12-01 23:04:39 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3713309,53300,285,2023-12-01 23:04:39 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,158672489,357000,6014,2023-12-01 23:04:39 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,1380572,143000,1,2023-12-01 23:04:39 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1125240332,2170000,22342,2023-12-01 23:04:39 UTC
UCoVL5YOr2KdnYNspQf3s5uw,ኢትዮ መረጃ  Ethio mereja,2892521,68000,39,2023-12-01 23:04:39 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,25910396,386000,1611,2023-12-01 23:04:39 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,5784578,34700,553,2023-12-02 23:04:35 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,41652833,343000,19283,2023-12-02 23:04:35 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14209218,103000,1025,2023-12-02 23:04:35 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9303267,54200,1535,2023-12-02 23:04:35 UTC
UCgIxJwBNuGzDKrBaZhATDug,Anchor Ethiopia ,58100746,258000,704,2023-12-02 23:04:35 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,297949196,923000,6949,2023-12-02 23:04:35 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,700491,16400,90,2023-12-02 23:04:35 UTC
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,6253404,53500,990,2023-12-02 23:04:35 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,470653692,1340000,65082,2023-12-02 23:04:35 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),65284830,266000,1814,2023-12-02 23:04:35 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,207580872,668000,10046,2023-12-02 23:04:35 UTC
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA ,16320369,145000,986,2023-12-02 23:04:35 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVN for Ethiopia,2421853,42700,176,2023-12-02 23:04:35 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,38915229,187000,1836,2023-12-02 23:04:35 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,42288695,239000,1824,2023-12-02 23:04:35 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,391517361,1310000,38036,2023-12-02 23:04:35 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,194661890,662000,1436,2023-12-02 23:04:35 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,12538108,127000,759,2023-12-02 23:04:35 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,1861632,30000,124,2023-12-02 23:04:35 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2249726,33500,448,2023-12-02 23:04:35 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,5678715,42600,1922,2023-12-02 23:04:35 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,126448393,582000,11263,2023-12-02 23:04:35 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,55782577,220000,2387,2023-12-02 23:04:35 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,21498852,132000,1525,2023-12-02 23:04:35 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3713355,53300,285,2023-12-02 23:04:35 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,158696279,357000,6015,2023-12-02 23:04:35 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,1380661,143000,1,2023-12-02 23:04:35 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1125904135,2170000,22364,2023-12-02 23:04:35 UTC
UCoVL5YOr2KdnYNspQf3s5uw,ኢትዮ መረጃ  Ethio mereja,2894536,68000,39,2023-12-02 23:04:35 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,25984587,387000,1613,2023-12-02 23:04:35 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,5791322,34800,553,2023-12-03 23:04:46 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,41699045,344000,19292,2023-12-03 23:04:46 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14214383,103000,1025,2023-12-03 23:04:46 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9304509,54200,1535,2023-12-03 23:04:46 UTC
UCgIxJwBNuGzDKrBaZhATDug,Anchor Ethiopia ,58149201,258000,704,2023-12-03 23:04:46 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,298004485,924000,6952,2023-12-03 23:04:46 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,700516,16400,90,2023-12-03 23:04:46 UTC
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,6254468,53500,990,2023-12-03 23:04:46 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,470739862,1340000,65093,2023-12-03 23:04:46 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),65360220,266000,1814,2023-12-03 23:04:46 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,207609179,668000,10051,2023-12-03 23:04:46 UTC
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA ,16321244,145000,986,2023-12-03 23:04:46 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVN for Ethiopia,2438080,42800,177,2023-12-03 23:04:46 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,38916149,187000,1836,2023-12-03 23:04:46 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,42300175,240000,1824,2023-12-03 23:04:46 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,391613996,1310000,38057,2023-12-03 23:04:46 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,194830870,663000,1437,2023-12-03 23:04:46 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,12549546,127000,759,2023-12-03 23:04:46 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,1864609,30100,125,2023-12-03 23:04:46 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2249836,33500,448,2023-12-03 23:04:46 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,5683584,42700,1924,2023-12-03 23:04:46 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,126500689,582000,11266,2023-12-03 23:04:46 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,55852531,220000,2387,2023-12-03 23:04:46 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,21526299,133000,1525,2023-12-03 23:04:46 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3713395,53300,285,2023-12-03 23:04:46 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,158706802,357000,6016,2023-12-03 23:04:46 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,1367259,143000,1,2023-12-03 23:04:46 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1126677384,2180000,22396,2023-12-03 23:04:46 UTC
UCoVL5YOr2KdnYNspQf3s5uw,ኢትዮ መረጃ  Ethio mereja,2896028,68000,39,2023-12-03 23:04:46 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,26049264,387000,1613,2023-12-03 23:04:46 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,5800871,34800,554,2023-12-04 23:04:47 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,41765265,344000,19304,2023-12-04 23:04:47 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14215482,103000,1025,2023-12-04 23:04:47 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9305791,54200,1537,2023-12-04 23:04:47 UTC
UCgIxJwBNuGzDKrBaZhATDug,Anchor Ethiopia ,57711089,258000,704,2023-12-04 23:04:47 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,298069128,924000,6957,2023-12-04 23:04:47 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,700529,16400,90,2023-12-04 23:04:47 UTC
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,6255490,53500,990,2023-12-04 23:04:47 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,470841759,1340000,65109,2023-12-04 23:04:47 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),65420783,266000,1818,2023-12-04 23:04:47 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,207630242,668000,10058,2023-12-04 23:04:47 UTC
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA ,16322190,145000,986,2023-12-04 23:04:47 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVN for Ethiopia,2466565,42900,180,2023-12-04 23:04:47 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,38917099,187000,1836,2023-12-04 23:04:47 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,42312232,240000,1825,2023-12-04 23:04:47 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,391686133,1310000,38082,2023-12-04 23:04:47 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,195005040,663000,1439,2023-12-04 23:04:47 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,12565686,127000,760,2023-12-04 23:04:47 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,1869014,30100,125,2023-12-04 23:04:47 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2250045,33500,448,2023-12-04 23:04:47 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,5689576,42700,1926,2023-12-04 23:04:47 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,126556069,583000,11271,2023-12-04 23:04:47 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,55895836,220000,2389,2023-12-04 23:04:47 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,21586211,133000,1527,2023-12-04 23:04:47 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3713443,53300,285,2023-12-04 23:04:47 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,158713084,357000,6018,2023-12-04 23:04:47 UTC
