title,viewCount,subscriberCount,videoCount,retrievedAt
Abebe Belew,27284840,145000,1006,2023-02-01 23:04:59 UTC
Adebabay Media,12435893,95800,893,2023-02-01 23:04:59 UTC
Alpha Media አልፋ ሚዲያ,4671185,38100,868,2023-02-01 23:04:59 UTC
Andafta,260410347,877000,5812,2023-02-01 23:04:59 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,323597,12200,36,2023-02-01 23:04:59 UTC
Ashara Media - አሻራ ሚዲያ,2133744,31100,583,2023-02-01 23:04:59 UTC
EMS (Ethiopian Media Services),38295808,215000,815,2023-02-01 23:04:59 UTC
ETHIO 251 MEDIA ,10933060,99100,842,2023-02-01 23:04:59 UTC
Ethio 360 Media,212205116,551000,3806,2023-02-01 23:04:59 UTC
Ethio News - ኢትዮ ኒውስ,25788699,157000,1297,2023-02-01 23:04:59 UTC
Feta Daily News,138289215,563000,881,2023-02-01 23:04:59 UTC
GEBEYANU,10181003,107000,594,2023-02-01 23:04:59 UTC
Mager Media - ማገር ,1124411,22000,300,2023-02-01 23:04:59 UTC
Mengizem Media ምንጊዜም ሚዲያ,3294464,29500,1155,2023-02-01 23:04:59 UTC
OMN,106114613,498000,9278,2023-02-01 23:04:59 UTC
Reyot,39797760,183000,1991,2023-02-01 23:04:59 UTC
Roha ,8294632,78400,816,2023-02-01 23:04:59 UTC
Terara Network,3386028,45200,276,2023-02-01 23:04:59 UTC
Tigrai Media House,152407175,349000,5254,2023-02-01 23:04:59 UTC
ኢትዮ ሰላም  Ethio Selam,2297560,32900,89,2023-02-01 23:04:59 UTC
ዓባይ ዜና - Abbay News,16247721,329000,1056,2023-02-01 23:04:59 UTC
Abebe Belew,27376195,145000,1006,2023-02-02 23:05:01 UTC
Adebabay Media,12506188,95800,894,2023-02-02 23:05:01 UTC
Alpha Media አልፋ ሚዲያ,4683937,38100,871,2023-02-02 23:05:01 UTC
Andafta,260587455,877000,5816,2023-02-02 23:05:01 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,324463,12300,37,2023-02-02 23:05:01 UTC
Ashara Media - አሻራ ሚዲያ,2143947,31200,585,2023-02-02 23:05:01 UTC
EMS (Ethiopian Media Services),38457646,216000,820,2023-02-02 23:05:01 UTC
ETHIO 251 MEDIA ,10962457,99500,842,2023-02-02 23:05:01 UTC
Ethio 360 Media,212739896,552000,3810,2023-02-02 23:05:01 UTC
Ethio News - ኢትዮ ኒውስ,25832464,157000,1299,2023-02-02 23:05:01 UTC
Feta Daily News,138527562,563000,883,2023-02-02 23:05:01 UTC
GEBEYANU,10182391,107000,595,2023-02-02 23:05:01 UTC
Mager Media - ማገር ,1125048,22000,300,2023-02-02 23:05:01 UTC
Mengizem Media ምንጊዜም ሚዲያ,3307355,29600,1158,2023-02-02 23:05:01 UTC
OMN,106196049,498000,9287,2023-02-02 23:05:01 UTC
Reyot,39883286,184000,1993,2023-02-02 23:05:01 UTC
Roha ,8458274,79400,818,2023-02-02 23:05:01 UTC
Terara Network,3386134,45200,276,2023-02-02 23:05:01 UTC
Tigrai Media House,152472991,349000,5257,2023-02-02 23:05:01 UTC
ኢትዮ ሰላም  Ethio Selam,2311892,33000,91,2023-02-02 23:05:01 UTC
ዓባይ ዜና - Abbay News,16277247,329000,1058,2023-02-02 23:05:01 UTC
