id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,37081750,126000,2209,2026-04-01 23:15:54 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15321110,111000,1171,2026-04-01 23:15:54 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9689151,56800,1719,2026-04-01 23:15:54 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,363003503,1150000,9486,2026-04-01 23:15:54 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,942959,21100,90,2026-04-01 23:15:54 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,6454367,152000,1107,2026-04-01 23:15:54 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,71580829,683000,1216,2026-04-01 23:15:54 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,13484641,198000,97,2026-04-01 23:15:54 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,644368560,3230000,2120,2026-04-01 23:15:54 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,637476319,2090000,83732,2026-04-01 23:15:54 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),155900847,547000,4306,2026-04-01 23:15:54 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,220444221,757000,13748,2026-04-01 23:15:54 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎከስ,29586925,158000,905,2026-04-01 23:15:54 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,674426089,1400000,3705,2026-04-01 23:15:54 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,84888326,373000,2679,2026-04-01 23:15:54 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,9357748,111000,926,2026-04-01 23:15:54 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,49502365,332000,1972,2026-04-01 23:15:54 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,Fana Entertainment ,81104586,610000,25499,2026-04-01 23:15:54 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,533659518,1890000,61578,2026-04-01 23:15:54 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,368045054,1120000,2990,2026-04-01 23:15:54 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,185730,9150,29,2026-04-01 23:15:54 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,16370049,168000,924,2026-04-01 23:15:54 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5674834,52200,269,2026-04-01 23:15:54 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,8929312,86600,451,2026-04-01 23:15:54 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,16018355,215000,182,2026-04-01 23:15:54 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2471874,36100,450,2026-04-01 23:15:54 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,12803110,99300,3679,2026-04-01 23:15:54 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,176288322,933000,14390,2026-04-01 23:15:54 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,93919193,407000,2846,2026-04-01 23:15:54 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,110213262,407000,3524,2026-04-01 23:15:54 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,11826304,83200,499,2026-04-01 23:15:54 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3828311,53800,285,2026-04-01 23:15:54 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,163578351,389000,6886,2026-04-01 23:15:54 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17486802,205000,8177,2026-04-01 23:15:54 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,3266746,66200,1291,2026-04-01 23:15:54 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,140000,0,2026-04-01 23:15:54 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1919354545,3480000,36826,2026-04-01 23:15:54 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,53177216,607000,2855,2026-04-01 23:15:54 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,37103163,126000,2211,2026-04-02 23:13:34 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15322526,111000,1171,2026-04-02 23:13:34 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9689198,56800,1719,2026-04-02 23:13:34 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,363105864,1150000,9489,2026-04-02 23:13:34 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,942977,21200,90,2026-04-02 23:13:34 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,6513114,152000,1109,2026-04-02 23:13:34 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,71597043,683000,1219,2026-04-02 23:13:34 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,13503515,198000,98,2026-04-02 23:13:34 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,644533125,3230000,2122,2026-04-02 23:13:34 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,637836895,2090000,83765,2026-04-02 23:13:34 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),156113047,547000,4312,2026-04-02 23:13:34 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,220452107,757000,13749,2026-04-02 23:13:34 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎከስ,29643956,158000,907,2026-04-02 23:13:34 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,675041484,1400000,3708,2026-04-02 23:13:34 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,84991957,373000,2681,2026-04-02 23:13:34 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,9368620,111000,928,2026-04-02 23:13:34 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,49514273,332000,1972,2026-04-02 23:13:34 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,Fana Entertainment ,81128758,610000,25500,2026-04-02 23:13:34 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,533837691,1890000,61608,2026-04-02 23:13:34 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,368241707,1120000,2992,2026-04-02 23:13:34 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,185731,9150,29,2026-04-02 23:13:34 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,16372464,168000,924,2026-04-02 23:13:34 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5675294,52200,269,2026-04-02 23:13:34 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,8932629,86600,451,2026-04-02 23:13:34 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,16033893,215000,182,2026-04-02 23:13:34 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2472278,36100,450,2026-04-02 23:13:34 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,12809835,99300,3683,2026-04-02 23:13:34 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,176342577,933000,14393,2026-04-02 23:13:34 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,93951812,407000,2847,2026-04-02 23:13:34 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,110292679,407000,3527,2026-04-02 23:13:34 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,11843665,83200,500,2026-04-02 23:13:34 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3828323,53800,285,2026-04-02 23:13:34 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,163579797,389000,6886,2026-04-02 23:13:34 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17487636,205000,8177,2026-04-02 23:13:34 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,3266834,66200,1291,2026-04-02 23:13:34 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,140000,0,2026-04-02 23:13:34 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1920368887,3490000,36840,2026-04-02 23:13:34 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,53208309,608000,2857,2026-04-02 23:13:34 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,37125468,126000,2213,2026-04-03 23:13:54 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15327970,111000,1172,2026-04-03 23:13:54 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9689264,56800,1719,2026-04-03 23:13:54 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,363189044,1150000,9493,2026-04-03 23:13:54 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,942989,21200,90,2026-04-03 23:13:54 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,6563530,153000,1110,2026-04-03 23:13:54 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,71610473,683000,1219,2026-04-03 23:13:54 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,13536310,199000,98,2026-04-03 23:13:54 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,644654380,3230000,2125,2026-04-03 23:13:54 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,638072446,2090000,83794,2026-04-03 23:13:54 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),156267167,547000,4317,2026-04-03 23:13:54 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,220456221,757000,13756,2026-04-03 23:13:54 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎከስ,29695201,158000,909,2026-04-03 23:13:54 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,675482643,1400000,3710,2026-04-03 23:13:54 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,85062958,373000,2683,2026-04-03 23:13:54 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,9386332,111000,930,2026-04-03 23:13:54 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,49528442,332000,1972,2026-04-03 23:13:54 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,Fana Entertainment ,81142824,610000,25501,2026-04-03 23:13:54 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,533961550,1890000,61627,2026-04-03 23:13:54 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,368456558,1120000,2994,2026-04-03 23:13:54 UTC
