id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,27480524,107000,1749,2025-08-01 23:06:12 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15031358,110000,1097,2025-08-01 23:06:12 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9653771,56400,1719,2025-08-01 23:06:12 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,346307137,1100000,8823,2025-08-01 23:06:12 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,937704,21200,90,2025-08-01 23:06:12 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,3051462,92300,672,2025-08-01 23:06:12 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,68112228,652000,1081,2025-08-01 23:06:12 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,10212382,163000,79,2025-08-01 23:06:12 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,586010004,3030000,1912,2025-08-01 23:06:12 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,584625836,1900000,78912,2025-08-01 23:06:12 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),135537587,499000,3726,2025-08-01 23:06:12 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,219183886,745000,12871,2025-08-01 23:06:12 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎከስ,15948348,126000,516,2025-08-01 23:06:12 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,544234741,1220000,3093,2025-08-01 23:06:12 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,67729087,335000,2305,2025-08-01 23:06:12 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,6618461,101000,483,2025-08-01 23:06:12 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,47041955,306000,1977,2025-08-01 23:06:12 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,Fana Entertainment ,76475336,571000,25040,2025-08-01 23:06:12 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,489814178,1740000,55435,2025-08-01 23:06:12 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,327050946,1040000,2545,2025-08-01 23:06:12 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,185228,9300,29,2025-08-01 23:06:12 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,14918203,149000,879,2025-08-01 23:06:12 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5535980,50000,270,2025-08-01 23:06:12 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,7218508,76700,342,2025-08-01 23:06:12 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,13074418,173000,151,2025-08-01 23:06:12 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2349541,34600,450,2025-08-01 23:06:12 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,10757756,86500,3232,2025-08-01 23:06:12 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,166567611,863000,13829,2025-08-01 23:06:12 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,85485585,379000,2725,2025-08-01 23:06:12 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,83993317,330000,2934,2025-08-01 23:06:12 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,7620673,72400,307,2025-08-01 23:06:12 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3824005,54100,285,2025-08-01 23:06:12 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,163193018,388000,6799,2025-08-01 23:06:12 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17245128,200000,7979,2025-08-01 23:06:12 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,5295583,63500,1993,2025-08-01 23:06:12 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,141000,0,2025-08-01 23:06:12 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1698392715,3170000,32739,2025-08-01 23:06:12 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,45367641,552000,2522,2025-08-01 23:06:12 UTC
