id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,43308273,136000,2508,2026-09-01 01:40:56 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15515675,113000,1192,2026-09-01 01:40:56 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9696306,56700,1719,2026-09-01 01:40:56 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,376025538,1180000,9982,2026-09-01 01:40:56 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,945681,21100,90,2026-09-01 01:40:56 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,8020241,179000,1327,2026-09-01 01:40:56 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,73550190,696000,1310,2026-09-01 01:40:56 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,15956392,216000,123,2026-09-01 01:40:56 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,671513087,3320000,2128,2026-09-01 01:40:56 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,658181771,2160000,83331,2026-09-01 01:40:56 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),179717153,587000,4829,2026-09-01 01:40:56 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,221870823,768000,14339,2026-09-01 01:40:56 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎከስ,37477335,175000,1148,2026-09-01 01:40:56 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,737283309,1480000,3957,2026-09-01 01:40:56 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,96620179,399000,2873,2026-09-01 01:40:56 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,11629063,120000,1208,2026-09-01 01:40:56 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,50683045,340000,1976,2026-09-01 01:40:56 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,Fana Entertainment ,84851227,625000,25825,2026-09-01 01:40:56 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,558113161,1960000,66230,2026-09-01 01:40:56 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,391031725,1160000,3271,2026-09-01 01:40:56 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,185938,9090,29,2026-09-01 01:40:56 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,16674029,171000,931,2026-09-01 01:40:56 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5741446,52600,269,2026-09-01 01:40:56 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,10360229,95100,508,2026-09-01 01:40:56 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,18699481,242000,200,2026-09-01 01:40:56 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2556855,37000,450,2026-09-01 01:40:56 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,13465054,101000,3913,2026-09-01 01:40:56 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,182176056,973000,14729,2026-09-01 01:40:56 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,99138462,426000,2903,2026-09-01 01:40:56 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,123500105,431000,3927,2026-09-01 01:40:56 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,14991343,90200,623,2026-09-01 01:40:56 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3830809,53600,285,2026-09-01 01:40:56 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,163858002,390000,6887,2026-09-01 01:40:56 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17593376,208000,8177,2026-09-01 01:40:56 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,3456470,68300,1322,2026-09-01 01:40:56 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,140000,0,2026-09-01 01:40:56 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,2058144344,3660000,39538,2026-09-01 01:40:56 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,57827594,678000,3064,2026-09-01 01:40:56 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,43316912,136000,2510,2026-09-02 00:50:07 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15515780,113000,1192,2026-09-02 00:50:07 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9696332,56700,1719,2026-09-02 00:50:07 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,376038933,1180000,9984,2026-09-02 00:50:07 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,945688,21100,90,2026-09-02 00:50:07 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,8027885,179000,1328,2026-09-02 00:50:07 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,73562358,696000,1311,2026-09-02 00:50:07 UTC
