handel,channel_id
ethio360media2,UCvr6jA3WYOhXFUD2LKpqhQw
ethionews,UCelbYFUaQW3eb9sg3004ZGw
ethio251media,UCUOJQ0kAEqms79eY37hH-Jg
reyot,UCPVr1rrKl8pXVFi-rrqzS1g
asharamedia-9471,UCPmgFzP2ZPmdGjHxXjigJaw
EthiopianMediaServices,UCCJbY4YdJIUk7Lygrkg5IRA
AbbayTv,UC6bam4pQbuUgXnmyEFlSpNA
AdebabayMedia,UC-kDmfnktrzc_SGpS9ulrXw
AbebeBelew,UCxIn6j4tH1dVnqLd1WFvFNA
mengizemmedia,UCZvMKrP8XmP9GAHMloucOaA
fetadailynews9708,UCgBnBckSLo6-uAiejtnEycQ
Andafta,UCwMHDoJO6cHO6LN1BItFsPQ
ESATtvEthiopia,UCSYM-vgRrMYsZbG-Z7Kz0Pw
magermedia-6793,UCilWrw2C8_VkFZ2tE5eKpdQ
TigraiMediaHouse,UCBvvcSYeDriczyImdI1qZWw
OromiaMedia,UCmAnzjcjIgtWuE6AnBCViTg
GEBEYANU,UCb9fEB6StrknyRiSSzQ7H0A
TeraraNetwork,UC_f89AbX5NPU77YaoaSKRSg
AratKiloMedia,UCK71ZGx5VYTWw2XQ0F_O0nQ
meneliktelevision2708,UC89uyLj0Zw2VUsTRwlbEc-A
roha_tv,UCDXU7RuIQc0xRKJyP0ZTZaQ
ethioselam,UCoVL5YOr2KdnYNspQf3s5uw
alphatvMedia,UCUyDe7EvbwwDRjyjUFU5Zhw
anchorethiopia1285,UCgIxJwBNuGzDKrBaZhATDug
